"Seller Dashboard","Seller Dashboard"
January,Enero
February,Febrero
March,Marzo
April,Abril
May,Mayo
June,Junio
July,Julio
August,Agosto
September,Septiembre
October,Octubre
November,Noviembre
December,Diciembre
Day,Día
Month,Mes
Year,Año
Sale,Venta
"Product approved","Producto aprobado"
"Product disapproved","Producto desaprobado"
". '</span>'",". '</span>'"
"Order placed notification","Notificación de pedido recibido"
"Do You Want To Make This Customer As Seller ?","¿Quieres convertir este cliente a vendedor?"
"Shop Url","URL de Tienda"
"Shop URLs","URL de Tienda"
"Approve Seller","Aprobar Vendedor"
"Assign Category","Asignar Categoría"
Commission,Comisión
"Commission Details","Detalles de Comisión"
"Change Commission","Cambiar Comisión"
"Set Commission In Percentage For This Seller","Establecer Comisión en Porcentaje para este Vendedor"
"Payment Information","Información de Pago"
"Do You Want To Remove This Seller ?","¿Quieres Eliminar a este Vendedor?"
"Check To Unapprove Seller","Verifica para Desaprobar al Vendedor"
ID,ID
Created,Creado
Name,Nombre
"Email","Correo Electrónico"
"Flag Reason","Motivo de Denuncia"
"Flag Date","Fecha de Denuncia"
"Product Name","Nombre de Producto"
"Product SKU","Código de Producto"
"Product Price","Precio del Producto"
"Product Assignment","Asignación de Productos"
"Seller Account Information","Información de Cuenta del vendedor"
"Seller Profile Information","Información del Perfil del Vendedor"
"Admin Store","Admin Store"
"Admin Store View","Admin Store View"
"Select Store","Selecciona Tienda"
"Twitter ID","ID de Twitter"
"Allow to Display Twitter Icon in Profile Page","Permitir Mostrar el Icono de Twitter en la Página de Perfil"
"Facebook ID","ID de Facebook"
"Allow to Display Facebook Icon in Profile Page","Permitir Mostrar el Icono de Facebook en la Página de Perfil"
"Instagram ID","ID de Instagram"
"Allow to Display Instagram Icon in Profile Page","Permitir Mostrar el Icono de Instagram en la Página de Perfil"
"Google+ ID","ID de Google+"
"Allow to Display Google+ Icon in Profile Page","Permitir Mostrar el Icono de Google+ en la Página de Perfil"
"Youtube ID","ID de Youtube"
"Allow to Display Youtube Icon in Profile Page","Permitir Mostrar el Icono de Youtube en la Página de Perfil"
"Vimeo ID","ID de Vimeo"
"Allow to Display Vimeo Icon in Profile Page","Permitir Mostrar el Icono de Vimeo en la Página de Perfil"
"Pinterest ID","ID de Pinterest"
"Allow to Display Pinterest Icon in Profile Page","Permitir Mostrar el Icono de Pinterest en la Página de Perfil"
"Moleskine ID","ID de Moleskine"
"Allow to Display Moleskine Icon in Profile Page","Permitir Mostrar el Icono de Moleskine en la Página de Perfil"
"Contact Number","Número de Contacto"
"Tax/VAT Number","RIF"
"Shop Title","Nombre Comercial"
"Company Locality","Dirección de su Empresa"
"Select Country","Selecciona su País"
"Company Description","Descripción de su Empresa"
"Return Policy","Política de Devoluciones"
"Shipping Policy","Política de Envío"
"Privacy Policy","Política de Privacidad"
"Meta Keywords","Palabras Claves - Meta"
"Meta Description","Descripción - Meta"
"Company Banner","Banner de su Empresa"
"Company Logo","Logo de su Empresa"
Flags,Denuncias
Back,Regresar
"Delete Reason","Razón para Eliminar"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Save and Continue Edit","Guardar y Continuar Editando"
"Save Reason","Guardar Motivo"
"Marketplace Seller Collection","Produtos del Vendedor"
"Marketplace Seller Feedback","Comentarios sobre el Vendedor"
"Marketplace Seller Location","Ubicación del Vendedor"
"My Orders","Mis Pedidos"
Subtotal,Sub-Total
Discount,Discount
"Total Tax","Total Tax"
"Shipping & Handling","Shipping & Handling"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Cargo por Ajuste"
"Grand Total","Total"
"Total COD Charges","Total COD Charges"
"Total Ordered Amount","Monto Total Pedido"
"Total Ordered Amount(in base currency)","Monto Total Pedido(en moneda base)"
"Total Vendor Amount","Monto Total del Vendedor"
"Total Vendor Amount(in base currency)","Monto Total del Vendedor(en moneda base)"
"Total Admin Commission","Total de Comisiones Administración"
"Total Admin Commission(in base currency)","Total de Comisiones Administrador(en moneda base)"
"View Order Detail","Ver Detalles del Pedido"
"Items Ordered","Productos Ordenados"
Invoices,Facturas
Shipments,Envíos
Refunds,Reembolsos
"Custom Value","Custom Value"
"View Product","Ver Producto"
"View Order","Ver Pedido"
"Order #%1 is %2.","Order #%1 is %2."
"View Transaction","Ver Transacción"
"View Review","Ver Reseña"
"Marketplace Seller Privacy Policy","Política de Privacidad del Vendedor"
" 's Privacy Policy","Política de Privacidad"
"All Files","Todos los Archvios"
"YouTube and Vimeo supported.","YouTube y Vimeo soportado."
"Vimeo supported.<br />To add YouTube video, please ask admin to set YouTube API Key first.","Vimeo supported.<br />To add YouTube video, please ask admin to set YouTube API Key first."
"My Product List","Lista de Productos"
"Attribute Values","Valores de Atributos"
"Bulk Images &amp; Price","Lote de Imágenes &amp; Precio"
"Select Attributes","Selecciona Atributos"
Summary,Resumen
"Marketplace Seller Profile","Perfil del Vendedor del Marketplace"
"My Transactions","Mis Transaccione"
"Become Seller","Convertirme en Vendedor"
"Congratulations! Your seller account is created.","Felicitaciones! Su cuenta de vendedor está creada."
"Your request to become seller is successfully raised.","Su solicitud para convertirse en vendedor se presentó con éxito."
"Please confirm that you want to become seller.","Por favor confirma su intención de convertirse en vendedor."
"Shop URL already exist please set another.","La URL de la tienda ya existe, escoge otra de tu gusto."
"Marketplace Customers","Clientes del Marketplace"
"Marketplace Seller Dashboard","Panel de Vendedor Marketplace"
"invalid request","solicitud inválida"
"see error log for details","ver log de errores para detalles"
"Service unavailable: %1","Servicio no disponible: %1"
Earnings,Ganancias
"Marketplace Seller Profile Page","Página de Perfil de Vendedor"
"Profile information was successfully saved","La información del perfil se guardó correctamente"
"We can't save the customer.","No pudimos guardar los datos del perfil, intenta de nuevo."
"Twitter Id cannot contain space and special characters, allowed special characters are @,#,_,-","Twitter Id cannot contain space and special characters, allowed special characters are @,#,_,-"
"Facebook Id cannot contain space and special characters, allowed special characters are @,#,_,-","Facebook Id cannot contain space and special characters, allowed special characters are @,#,_,-"
"Instagram ID cannot contain space and special characters, allowed special characters are @,#,_,-","Instagram ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Google Plus ID cannot contain space and special characters, allowed special characters are @,#,_,-","Google Plus ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Youtube ID cannot contain space and special characters, allowed special characters are @,#,_,-","Youtube ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Vimeo ID cannot contain space and special characters, allowed special characters are @,#,_,-","Vimeo ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Pinterest ID cannot contain space and special characters, allowed special characters are @,#,_,-","Pinterest ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Moleskine ID cannot contain space and special characters, allowed special characters are @,#,_,-","Moleskine ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Tax/VAT Number cannot contain space and special characters","Tax/VAT Number cannot contain space and special characters"
"Invalid Background Color","Color de Fondo Inválido"
"Marketplace Vendor Login","Inicio de Sesión de Vendedor"
"Marketplace Notifications","Notificaciones del Marketplace"
"Marketplace Review","Revisión del Marketplace"
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"Minimum order amount information was successfully saved","Monto mínimo del pedido se guardó correctamente"
"Payment information was successfully saved","La información de pago se guardó correctamente"
"Manage Commission","Administrar Comisiones"
"Manage Feedback","Manage Feedback"
"A total of %1 record(s) has been approved.","A total of %1 record(s) has been approved."
"A total of %1 record(s) has been disapproved.","A total of %1 record(s) has been disapproved."
"Manage Seller's Order","Administrar Pedidos de Vendedores"
"A total of %1 record(s) have been approved.","A total of %1 record(s) have been approved."
"Payment has been successfully done for this seller","El pago se ha realizado correctamente para este vendedor."
"We can't pay the seller right now. %1","We can't pay the seller right now. %1"
"Product has been Denied.","El producto ha sido denegado."
"Manage Seller's Product","Administrar Productos de Vendedores"
"A total of %1 record(s) have been disapproved.","A total of %1 record(s) have been disapproved."
"You deleted the Product flag reason.","Eliminaste el motivo de denuncia del producto."
"We can't find a Product flag reason to delete.","No podemos encontrar motivo de denuncia de producto para eliminar."
"This ProductFlag Reason no longer exists.","Este motivo de denuncia de producto ya no existe."
"Edit Reason","Editar Motivo"
"New Reason","Nuevo Motivo"
Reason,Motivo
"Product Flag Reason","Product Flag Reason"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"This flag reason no longer exists.","Este motivo de denuncia ya no existe."
"You saved the product flag reason.","Guardaste el motivo de denuncia de producto."
"Seller has been Denied.","Vendedor ha sido Negado."
"Manage Sellers","Administar Vendedores"
"A total of %1 record(s) have been approved as seller.","A total of %1 record(s) have been approved as seller."
"A total of %1 record(s) status have been changed to processing.","A total of %1 record(s) status have been changed to processing."
"A total of %1 record(s) status cannot be changed from approved to processing.","A total of %1 record(s) status cannot be changed from approved to processing."
"You deleted the seller flag reason.","Eliminaste el motivo de denuncia de vendedor."
"We can't find a seller flag reason to delete.","We can't find a seller flag reason to delete."
"This SellerFlag Reason no longer exists.","Este motivo de denuncia de vendedor ya no existe."
"Seller Flag Reason","Motiva de Denuncia de Vendedor"
"This flag no longer exists.","Esta denuncia ya no existe."
"You saved the seller flag reason.","Guardaste el motivo de denuncia de vendedor."
"Sellers Transaction","Transacciones de Vendedores"
"This order no longer exists.","Este pedido ya no existe."
"You are not authorize to manage this order.","No estás autorizado para administrar este pedido."
"The invoice no longer exists.","La factura ya no existe."
"You are not authorize to view this invoice.","No estás autorizado para ver esta factura."
"The shipment no longer exists.","El envío ya no existe."
"You are not authorize to view this shipment.","No estás autorizado para ver este envío."
"The creditmemo no longer exists.","La nota de crédito ya no exite."
"You are not authorize to view this creditmemo.","No estás autorizado para ver esta nota de crédito."
"The order has been cancelled.","El pedido ha sido cancelado."
"You are not permitted to cancel this order.","You are not permitted to cancel this order."
"We can't send the email order right now.","We can't send the email order right now."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","Creaste la nota de crédito."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"You can not create credit memo for this order.","You can not create credit memo for this order."
"New Credit Memo for Order #%1","Nueva Nota de Crédito para Pedido #%1"
"The message has been sent.","El mensaje ha sido enviado."
"Failed to send the creditmemo email.","No se pudo enviar el correo electrónico de nota de crédito."
"We can't print the creditmemo right now.","No podemos imprimir la nota de crédito en este momento."
"Order #%1","Pedido #%1"
"Credit Memo - Order #%1","Nota de Crédito - Pedido #%1"
"You sent the order email.","Enviaste el correo electrónico del pedido."
"Marketplace Seller Orders","Pedidos de Vendedor"
"Can not create invoice as order is in HOLD state","No se puede crear una factura ya que el pedido está en estado de STAND BY"
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Invoice has been created for this order.","Invoice has been created for this order."
"Failed to send the invoice email.","Failed to send the invoice email."
"There are no printable documents related to selected date range.","There are no printable documents related to selected date range."
"We can't print the invoice right now.","We can't print the invoice right now."
"Information was successfully saved","La información se guardó correctamente"
"Order Details of Product : %1","Detalles del Pedido del Producto : %1"
"Can not create shipment as order is in HOLD state","No se puede crear una envío ya que el pedido está en estado de STAND BY"
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","No se puede realizar el envío del pedido."
"The shipment has been created.","Se ha creado el envío."
"The shipping label has been created.","Se ha creado la etiqueta de envío."
"We can't save the shipment right now.","We can't save the shipment right now."
