Pending,Pendiente
Approved,Aprobado
Merged,Fusionado
Ordered,Ordenado
"Manage Customer Sub Account","Administrar Sub Cuentas de Clientes"
"A total of %1 sub-account(s) have been activated.","Un total de %1 sub-cuenta(s) han sido activadas."
"A total of %1 sub-account(s) have been deactivated.","Un total de %1 sub-cuenta(s) han sido desactivadas."
"Action Not Allowed.","Acción No Permitida."
"Cart approved successfully.","Carrito aprobado satisfactoriamente."
"Cart deleted successfully.","Carrito eliminado satisfactoriamente."
"Manage Cart Approval","Administrar Aprobación de Carrito"
"Cart sent for Approval.","Carrito Enviado para Aprobación."
"Cart sent for Merge.","Carrito Enviado para Fusionar."
"Something went wrong.","Algo salió mal."
"Main Account Orders","Pedidos de Cuenta Principal"
"Manage Cart Merge","Administrar Fusión de Carrito"
"Cart merged successfully.","Carrito fusionado satisfactoriamente."
"You are not authorised to delete this cart.","No está autorizado para eliminar este carrito."
"My Cart Requests","Mis Solicitudes de Carrito"
"You are not authorised to place this cart.","No estás autorizado para completar este carrito."
"Quote Data","Datos de Cotización"
"Add Sub Account","Agregar Sub Cuenta"
"Sub Account deleted successfully.","Sub Cuenta eliminada satisfactoriamente."
"Edit Sub Account","Editar Sub Cuenta"
"Manage Sub Accounts","Administrar Sub Cuentas"
"Logged in to sub-account.","Iniciar sesión en la sub-cuenta."
"Sub-account is inactive.","Sub-Cuenta está inactiva."
"Sub Account created successfully.","Sub Cuenta creada satisfactoriamente."
"Sub Account details saved successfully.","Detalles de Sub Cuenta guardados satisfactoriamente."
"Sub Account Orders","Pedidos de Sub Cuenta"
"Item added to Main Wish List.","Producto agregado a la Lista de Compra Principal."
"Main Wish List","Lista de Compras Principal"
"Wish list item removed.","Producto removido de la Lista de Compra."
"Cart Approval Required","Se Requiere Aprobación del Carrito"
"Can Merge Own Cart to Main Cart","Puede Fusionar su Propio Carrito con el Principal"
"Can Approve Carts","Puede Aprobar Carritos"
"Can Place Order","Puede Completar Pedidos"
"Force Usage Main Account Address","Forzar Uso de la Dirección de la Cuenta Principal"
"Can View Main Wishlist","Puede Ver Lista de Compras Principal"
"Can Add to Main Wishlist","Puede Agregar a Lista de Compras Principal"
"Can Remove From Main Wishlist","Puede Quitar de la Lista de Compras Principal"
"Can View Main Account Order List","Puede Ver Lista de Pedidos de Cuenta Principal"
"Can View Main Account Order Details","Puede Ver Detalle de Pedidos de Cuenta Principal"
"Can View Sub Account Order List","Puede Ver Lista de Pedidos de Sub Cuenta"
"Can View Sub Account Order Details","Puede Ver Detalle de Pedidos de Sub-Cuenta"
"Will Get Notified on Order Place by Main Account","Recibirá Notificación por Pedidos Completados por la Cuenta Principal"
"Will Get Notified on Order Place by Sub Account","Recibirá Notificación por Pedidos Completados por Sub Cuentas"
"Can Create Sub Accounts","Puede Crear Sub Cuentas"
"Can Edit Sub Accounts","Puede Editar Sub Cuentas"
"Can Delete Sub Accounts","Puede Eliminar Sub Cuentas"
"Can Login to Sub Accounts","Puede Iniciar Sesión en Sub Cuentas"
"Can Review Products","Puede Reseñar Productos"
"Order Placed Notification to Main Account","Notificación Pedido Realizado a la Cuenta Principal"
"Main Account's Order Placed Notification","Notificación de Pedido Realizado de la Cuenta Principal"
"Sub Account's Order Placed Notification","Notificación de Pedido Realizado a la Sub Cuenta"
"Sub Account Activated Notification from Admin","Sub Account Activated Notification from Admin"
